"St0" "St1" "Tin0" "Tin1" "Tout0" "Tout1" "W0"
"860" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"861" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"862" "low" "high" "18-24" "18-24" ">24" ">24" "open"
"863" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"864" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"865" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"866" "low" "low" "18-24" "18-24" ">24" "18-24" "open"
"867" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"868" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"869" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"870" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"871" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"872" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"873" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"874" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"875" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"876" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"877" "low" "low" ">24" ">24" ">24" ">24" "closed"
"878" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"879" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"880" "low" "high" "18-24" "<18" "<18" "<18" "open"
"881" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"882" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"883" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"884" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"885" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"886" "low" "high" "<18" "18-24" "18-24" "18-24" "open"
"887" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"888" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"889" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"890" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"891" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"892" "low" "high" "18-24" "<18" "<18" "<18" "open"
"893" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"894" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"895" "low" "high" "18-24" "18-24" "<18" "18-24" "closed"
"896" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"897" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"898" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"899" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"900" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"901" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"902" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"903" "low" "low" "18-24" ">24" ">24" ">24" "open"
"904" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"905" "low" "low" "<18" "<18" "<18" "<18" "open"
"906" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"907" "low" "high" ">24" ">24" ">24" ">24" "closed"
"908" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"909" "high" "high" "18-24" "<18" "<18" "<18" "open"
"910" "low" "low" "18-24" "18-24" "<18" "18-24" "open"
"911" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"912" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"913" "high" "high" ">24" "18-24" "<18" "<18" "open"
"914" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"915" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"916" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"917" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"918" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"919" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"920" "high" "high" "<18" "18-24" "18-24" "18-24" "closed"
"921" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"922" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"923" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"924" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"925" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"926" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"927" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"928" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"929" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"930" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"931" "low" "low" "<18" "18-24" "18-24" ">24" "closed"
"932" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"933" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"934" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"935" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"936" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"937" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"938" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"939" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"940" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"941" "high" "high" "18-24" "<18" "18-24" "<18" "open"
"942" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"943" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"944" "high" "high" ">24" ">24" "18-24" "18-24" "open"
"945" "low" "low" ">24" "18-24" "<18" "<18" "closed"
"946" "high" "high" "<18" "<18" ">24" "18-24" "closed"
"947" "low" "low" ">24" "18-24" "18-24" "18-24" "open"
"948" "high" "high" "18-24" "18-24" "<18" "18-24" "open"
"949" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"950" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"951" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"952" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"953" "high" "low" "18-24" "<18" "<18" "<18" "open"
"954" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"955" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"956" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"957" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"958" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"959" "high" "low" "<18" "<18" "<18" "<18" "open"
"960" "low" "low" "18-24" "<18" "<18" "<18" "open"
"961" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"962" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"963" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"964" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"965" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"966" "low" "low" "<18" "18-24" "18-24" "18-24" "closed"
"967" "low" "low" "18-24" ">24" "18-24" ">24" "open"
"968" "low" "high" "18-24" "18-24" "18-24" "<18" "closed"
"969" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"970" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"971" "high" "low" "18-24" "<18" "18-24" "<18" "open"
"972" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"973" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"974" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"975" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"976" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"977" "low" "high" "18-24" "<18" "<18" "<18" "closed"
"978" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"979" "high" "low" "18-24" "<18" "<18" "<18" "open"
"980" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"981" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"982" "low" "low" ">24" "18-24" "<18" "<18" "open"
"983" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"984" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"985" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"986" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"987" "low" "high" "18-24" "<18" "18-24" "<18" "open"
"988" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"989" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"990" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"991" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"992" "low" "low" "18-24" "18-24" "<18" "18-24" "open"
"993" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"994" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"995" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"996" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"997" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"998" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"999" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1000" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1001" "low" "high" ">24" ">24" "<18" "18-24" "closed"
"1002" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1003" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1004" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1005" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1006" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1007" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1008" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1009" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1010" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1011" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1012" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1013" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1014" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1015" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1016" "low" "high" "18-24" "18-24" "18-24" ">24" "closed"
"1017" "low" "low" "<18" "<18" "<18" "<18" "open"
"1018" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1019" "high" "high" "18-24" "18-24" ">24" "18-24" "closed"
"1020" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1021" "low" "low" "<18" "18-24" ">24" ">24" "closed"
"1022" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1023" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1024" "low" "low" "18-24" "<18" "<18" "<18" "closed"
"1025" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1026" "low" "low" "<18" ">24" "18-24" "18-24" "open"
"1027" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1028" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"1029" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1030" "high" "high" ">24" ">24" ">24" ">24" "closed"
"1031" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1032" "low" "low" "<18" "18-24" "18-24" "18-24" "closed"
"1033" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1034" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1035" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"1036" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1037" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1038" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1039" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1040" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1041" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"1042" "low" "high" "18-24" ">24" "<18" "<18" "closed"
"1043" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"1044" "low" "low" ">24" ">24" "18-24" "<18" "closed"
"1045" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1046" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"1047" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1048" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"1049" "high" "high" "18-24" "18-24" "<18" "<18" "open"
"1050" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1051" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1052" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1053" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1054" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1055" "low" "high" "18-24" ">24" ">24" ">24" "closed"
"1056" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1057" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"1058" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"1059" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1060" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1061" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1062" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1063" "high" "high" ">24" ">24" "18-24" "18-24" "open"
"1064" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"1065" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"1066" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1067" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1068" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"1069" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1070" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1071" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1072" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1073" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"1074" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1075" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1076" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1077" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1078" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1079" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1080" "high" "low" ">24" ">24" "<18" "18-24" "open"
"1081" "low" "low" "<18" "<18" "18-24" "<18" "open"
"1082" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1083" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1084" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1085" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1086" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1087" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1088" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"1089" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1090" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1091" "low" "low" "<18" ">24" ">24" ">24" "closed"
"1092" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1093" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1094" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1095" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1096" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"1097" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"1098" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"1099" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"1100" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1101" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1102" "high" "low" "18-24" "18-24" "<18" "<18" "closed"
"1103" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1104" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1105" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1106" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1107" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1108" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"1109" "high" "high" "18-24" "18-24" ">24" "18-24" "closed"
"1110" "high" "high" "18-24" "18-24" "<18" "<18" "open"
"1111" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"1112" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1113" "high" "high" "<18" "18-24" "18-24" "18-24" "closed"
"1114" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1115" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"1116" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1117" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1118" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"1119" "high" "low" "18-24" "<18" "18-24" "<18" "open"
"1120" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1121" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"1122" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1123" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1124" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1125" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1126" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1127" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1128" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1129" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1130" "low" "low" "18-24" ">24" "18-24" ">24" "open"
"1131" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1132" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1133" "low" "low" "18-24" "18-24" "<18" "18-24" "open"
"1134" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1135" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1136" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1137" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1138" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1139" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1140" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1141" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1142" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1143" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1144" "high" "low" ">24" "18-24" "18-24" "18-24" "open"
"1145" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1146" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1147" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"1148" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1149" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1150" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1151" "low" "low" "18-24" "18-24" ">24" "18-24" "open"
"1152" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1153" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1154" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1155" "high" "high" "<18" "18-24" ">24" ">24" "closed"
"1156" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1157" "low" "high" "18-24" "<18" "18-24" "<18" "closed"
"1158" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1159" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1160" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"1161" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1162" "low" "high" ">24" ">24" "18-24" "18-24" "closed"
"1163" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1164" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1165" "low" "high" "<18" "<18" "<18" "<18" "closed"
"1166" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1167" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1168" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1169" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1170" "high" "low" "18-24" "18-24" "<18" "18-24" "closed"
"1171" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"1172" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1173" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1174" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1175" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1176" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1177" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1178" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"1179" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1180" "high" "high" "<18" "18-24" "18-24" "18-24" "closed"
"1181" "low" "low" "18-24" ">24" "<18" "<18" "closed"
"1182" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1183" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1184" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1185" "high" "high" "18-24" "18-24" "<18" "<18" "open"
"1186" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1187" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1188" "high" "low" "<18" "18-24" "18-24" ">24" "open"
"1189" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1190" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1191" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1192" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1193" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1194" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"1195" "high" "low" "18-24" "18-24" "<18" "<18" "closed"
"1196" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"1197" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"1198" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1199" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1200" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1201" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1202" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1203" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"1204" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1205" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1206" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1207" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1208" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1209" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1210" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1211" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1212" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"1213" "low" "low" "18-24" ">24" "18-24" ">24" "open"
"1214" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1215" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1216" "high" "low" "<18" "18-24" "18-24" "18-24" "closed"
"1217" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1218" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1219" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1220" "low" "low" "18-24" "18-24" ">24" "18-24" "open"
"1221" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1222" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1223" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1224" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1225" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1226" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1227" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1228" "low" "high" "<18" "<18" "18-24" "18-24" "open"
"1229" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1230" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1231" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1232" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1233" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1234" "high" "high" "18-24" "18-24" "18-24" "<18" "open"
"1235" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1236" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1237" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1238" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1239" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1240" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1241" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"1242" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"1243" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"1244" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1245" "low" "low" ">24" ">24" "18-24" "18-24" "open"
"1246" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1247" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1248" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1249" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1250" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"1251" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1252" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1253" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"1254" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1255" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1256" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1257" "low" "low" "<18" "<18" "18-24" "<18" "closed"
"1258" "high" "high" "<18" "18-24" "18-24" ">24" "open"
"1259" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1260" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1261" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1262" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1263" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1264" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1265" "high" "low" ">24" ">24" "18-24" "18-24" "open"
"1266" "low" "low" "18-24" "18-24" ">24" "18-24" "closed"
"1267" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1268" "high" "low" "18-24" "18-24" ">24" ">24" "closed"
"1269" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1270" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1271" "high" "low" "18-24" "18-24" "<18" "<18" "closed"
"1272" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"1273" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1274" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1275" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1276" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1277" "high" "low" "18-24" "<18" "18-24" "<18" "open"
"1278" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"1279" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1280" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
